subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
83,1900-01-01 16:41:05.432912401,,,,88.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
84,1900-01-01 16:41:06.554781623,,,,89.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
85,1900-01-01 16:41:06.676630086,,,,90.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
86,1900-01-01 16:41:06.798548123,,,,91.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
87,1900-01-01 16:41:06.920364679,,,,92.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
88,1900-01-01 16:41:06.422303270,,,,93.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
89,1900-01-01 16:41:06.164100753,,,,94.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
90,1900-01-01 16:41:06.285956604,,,,95.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
91,1900-01-01 16:41:06.407890049,,,,96.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
92,1900-01-01 16:41:07.529704567,,,,97.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
93,1900-01-01 16:41:07.651601845,,,,98.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
94,1900-01-01 16:41:07.773435474,,,,99.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
95,1900-01-01 16:41:07.895289048,,,,100.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
96,1900-01-01 16:41:07.171981040,,,,101.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
97,1900-01-01 16:41:07.139017956,,,,102.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
98,1900-01-01 16:41:07.260905326,,,,103.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
99,1900-01-01 16:41:07.382773770,,,,104.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
100,1900-01-01 16:41:07.504585400,,,,105.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
101,1900-01-01 16:41:08.626465493,,,,106.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
102,1900-01-01 16:41:08.748270844,,,,107.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
103,1900-01-01 16:41:08.870105474,,,,108.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
104,1900-01-01 16:41:08.992044511,,,,109.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
105,1900-01-01 16:41:08.113919881,,,,110.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
106,1900-01-01 16:41:08.235716492,,,,111.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
107,1900-01-01 16:41:08.357583622,,,,112.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
108,1900-01-01 16:41:08.479473251,,,,113.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
109,1900-01-01 16:41:09.601349103,,,,114.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
110,1900-01-01 16:41:09.723129436,,,,115.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
111,1900-01-01 16:41:09.845048140,,,,116.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
112,1900-01-01 16:41:09.966865325,,,,117.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
113,1900-01-01 16:41:09.887486950,,,,118.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
114,1900-01-01 16:41:09.210581492,,,,119.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
115,1900-01-01 16:41:09.332469454,,,,120.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
116,1900-01-01 16:41:09.454417825,,,,121.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
117,1900-01-01 16:41:10.576171177,,,,122.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
